footprintWKT	coordinateUncertaintyInMeters	decimalLatitude	decimalLongitude
LINESTRING (-44.98298 -62.16809, -44.98613 -62.16425)	229.1820986733384	-62.16617000921936	-44.98455509981407
LINESTRING (-44.98298 -62.16809, -44.98613 -62.16425)	229.1820986733384	-62.16617000921936	-44.98455509981407
LINESTRING (-44.98773 -62.16168, -44.98834 -62.15685)	269.61643181918214	-62.15926500076006	-44.98803502430524
LINESTRING (-44.98773 -62.16168, -44.98834 -62.15685)	269.61643181918214	-62.15926500076006	-44.98803502430524
LINESTRING (-44.99019 -62.15421, -44.98773 -62.14981)	253.43340488669193	-62.15201000581325	-44.988959910735815
LINESTRING (-44.99019 -62.15421, -44.98773 -62.14981)	253.43340488669193	-62.15201000581325	-44.988959910735815
LINESTRING (-44.52579 -62.33369, -44.53514 -62.33162)	268.3447470968895	-62.3326550786267	-44.530465160842695
LINESTRING (-44.54167 -62.33015, -44.55319 -62.32784)	325.1230957612243	-62.32899511934748	-44.547430221114
LINESTRING (-44.54167 -62.33015, -44.55319 -62.32784)	325.1230957612243	-62.32899511934748	-44.547430221114
LINESTRING (-44.54167 -62.33015, -44.55319 -62.32784)	325.1230957612243	-62.32899511934748	-44.547430221114
LINESTRING (-44.54167 -62.33015, -44.55319 -62.32784)	325.1230957612243	-62.32899511934748	-44.547430221114
LINESTRING (-44.54167 -62.33015, -44.55319 -62.32784)	325.1230957612243	-62.32899511934748	-44.547430221114
LINESTRING (-44.54167 -62.33015, -44.55319 -62.32784)	325.1230957612243	-62.32899511934748	-44.547430221114
LINESTRING (-44.54167 -62.33015, -44.55319 -62.32784)	325.1230957612243	-62.32899511934748	-44.547430221114
LINESTRING (-44.54167 -62.33015, -44.55319 -62.32784)	325.1230957612243	-62.32899511934748	-44.547430221114
LINESTRING (-44.54167 -62.33015, -44.55319 -62.32784)	325.1230957612243	-62.32899511934748	-44.547430221114
LINESTRING (-44.52622 -62.33288, -44.53451 -62.32868)	317.6962730985292	-62.330780062070914	-44.530365289326745
LINESTRING (-44.46292 -62.4202, -44.48012 -62.41852)	454.17269393645813	-62.41936026530335	-44.47152024102414
LINESTRING (-46.48373 -60.53405, -46.48788 -60.53856)	275.8689928092242	-60.53630501650103	-46.48580485567727
LINESTRING (-46.49032 -60.54189, -46.49385 -60.54653)	276.0506550563376	-60.54421001206537	-46.492084873659365
